subject_id,windows,accuracy,macro_f1
1603,324,0.6481481481481481,0.6013512720547509
1604,324,0.8148148148148148,0.8086540085788116
1608,340,0.6294117647058823,0.6096354443055954
1613,324,0.7067901234567902,0.6769416419416419
1620,335,0.5850746268656717,0.5591225279574745
1631,324,0.7839506172839507,0.7582461742212866
1642,300,0.52,0.44126559167792656
1646,324,0.6790123456790124,0.6717657853382671
1647,327,0.6055045871559633,0.5790224075048542
1648,324,0.5925925925925926,0.5778287528749773
